--LYNX
Content-Disposition: form-data; name="text1"
Content-Type: text/plain; charset=utf-8

Ratione accusamus aspernatur aliquam
--LYNX
Content-Disposition: form-data; name="text2"
Content-Type: text/plain; charset=utf-8


--LYNX
Content-Disposition: form-data; name="select"
Content-Type: text/plain; charset=utf-8

A
--LYNX
Content-Disposition: form-data; name="select"
Content-Type: text/plain; charset=utf-8

B
--LYNX
Content-Disposition: form-data; name="textarea"
Content-Type: text/plain; charset=utf-8

Voluptatem cumque voluptate sit recusandae at. Et quas facere rerum unde esse. Sit est et voluptatem. Vel temporibus velit neque odio non.

Molestias rerum ut sapiente facere repellendus illo. Eum nulla quis aut. Quidem voluptas vitae ipsam officia voluptatibus eveniet. Aspernatur cupiditate ratione aliquam quidem corrupti. Eos sunt rerum non optio culpa.

--LYNX
Content-Disposition: form-data; name="upload"; filename="/Users/chansen/hello.pl"
Content-Type: text/plain

#!/usr/bin/perl

use strict;
use warnings;

print "Hello World :)\n";


--LYNX
Content-Disposition: form-data; name="upload"; filename="/Users/chansen/hello.pl"
Content-Type: text/plain

#!/usr/bin/perl

use strict;
use warnings;

print "Hello World :)\n";


--LYNX
Content-Disposition: form-data; name="upload1"; filename=""
Content-Type: text/plain


--LYNX
Content-Disposition: form-data; name="upload2"; filename="/Users/chansen/hello.pl"
Content-Type: text/plain

#!/usr/bin/perl

use strict;
use warnings;

print "Hello World :)\n";


--LYNX--
